id,country,city,date,lattitude,longitude,max_temp,wind_speed,humidity,cloudiness
2404433,SL,Taua,1556935200,8.79,-12.72,80.6,10.29,83,40
3389609,BR,Pimentel,1556936769,-3.7,-45.5,72.75,2.37,96,24
261814,GR,Koutsouras,1556935900,35.03,25.95,57.0,4.63,89,3
1486910,RU,Komsomolskiy,1556936772,67.55,63.78,34.57,13.31,99,100
1252668,IN,Ziro,1556936773,27.54,93.82,54.75,1.21,97,100
5961417,CA,Gimli,1556936489,50.63,-96.99,51.01,7.0,75,100
2177756,AU,Ararat,1556936128,-37.28,142.93,55.0,8.99,71,40
1255619,IN,Srivardhan,1556936777,18.03,73.02,80.22,3.69,71,99
2026696,RU,Bikin,1556936778,46.82,134.25,76.19,7.76,23,3
501091,RU,Rovnoye,1556936780,50.78,46.06,50.52,8.81,82,8
3430443,AR,Necochea,1556936780,-38.55,-58.74,55.0,4.9,79,0
1504636,RU,Karabash,1556936783,55.49,60.21,52.27,12.19,49,100
1502063,RU,Krasnoturansk,1556935200,54.32,91.57,42.8,5.28,35,0
2014718,RU,Tynda,1556936666,55.15,124.74,36.91,10.78,32,98
5895424,CA,Bay Roberts,1556936303,47.58,-53.28,37.0,8.05,93,90
145531,AO,Saurimo,1556936788,-9.66,20.4,66.36,3.11,74,2
4465088,US,Elizabeth City,1556936542,36.3,-76.22,75.99,8.05,88,1
3650121,EC,Olinda,1556936690,-2.03,-79.75,82.4,12.75,69,75
5855051,US,Ewa Beach,1556936471,21.32,-158.01,82.4,5.82,69,75
207596,CD,Mweka,1556936794,-4.85,21.56,73.44,1.63,76,48
3669808,CO,Palmar,1556935200,6.54,-73.29,73.4,3.36,100,40
3174050,IT,Mantua,1556936468,45.16,10.79,55.0,1.12,93,20
2704613,SE,Hudiksvall,1556936508,61.73,17.1,28.0,4.97,91,100
593672,LT,Utena,1556936800,55.5,25.6,32.36,5.77,75,95
286987,OM,Nizwa,1556936801,22.93,57.53,78.44,2.24,16,0
2976007,FR,Sarlat-la-Caneda,1556936593,44.89,1.22,46.0,4.7,93,0
3141866,NO,Rindal,1556936804,63.05,9.21,29.37,6.33,96,100
5972291,CA,Havre-Saint-Pierre,1556935200,50.23,-63.6,39.2,4.7,69,90
4004738,MX,Hostotipaquillo,1556936478,21.06,-104.05,75.99,5.01,39,21
240498,CF,Bangassou,1556936808,4.74,22.82,75.96,2.44,61,14
2127515,JP,Wakkanai,1556935200,45.41,141.67,59.0,26.4,58,0
290030,QA,Doha,1556931600,25.29,51.53,80.6,3.36,54,0
5992500,CA,Kingston,1556936688,44.23,-76.48,48.2,4.7,100,90
1810846,CN,Fuyang,1556936701,30.05,119.96,82.0,6.71,27,0
152718,TZ,Mtwango,1556936815,-9.02,34.8,63.61,7.54,85,91
6182962,US,Windsor,1556936482,42.3,-83.03,51.8,9.17,81,90
1510690,RU,Bay-Khaak,1556936818,51.16,94.47,45.46,4.45,25,0
1254046,IN,Tura,1556936820,25.52,90.21,75.43,14.23,88,100
2170260,AU,Corowa,1556936753,-36.0,146.39,62.01,10.29,67,2
141736,IR,Bam,1556936823,29.11,58.36,64.87,1.66,20,0
5906757,CA,Bow Island,1556936749,49.87,-111.38,45.0,14.99,56,90
934900,ZA,Nsoko,1556936825,-27.07,31.93,60.89,3.36,51,0
2028164,RU,Deputatskiy,1556936827,69.3,139.9,24.06,7.09,88,38
962367,ZA,Richards Bay,1556936828,-28.77,32.06,76.01,18.39,78,100
3013534,FR,Hendaye,1556936704,43.37,-1.77,51.8,3.36,87,75
64814,SO,Bandarbeyla,1556936831,9.49,50.81,77.45,6.82,84,0
2136825,VU,Isangel,1556935200,-19.55,169.27,80.6,17.22,74,75
1487332,RU,Verkhnyaya Inta,1556936834,65.99,60.32,40.06,8.12,99,100
1635111,ID,Puri,1556935200,-7.54,112.45,86.0,1.12,70,20
3894426,CL,Coihaique,1556935200,-45.58,-72.07,39.2,3.36,80,0
